"","Behavior 0","Behavior 1","Mating ID"
"51","Freezing","Leg Showcase","g1.G30xJ210"
"52","Leg Showcase","Freezing","g1.G30xJ210"
"53","Freezing","Pedipalp Showcase","g1.G30xJ210"
"54","Pedipalp Showcase","Leg Showcase","g1.G30xJ210"
"55","Leg Showcase","Freezing","g1.G30xJ210"
"56","Freezing","Abdomen Tapping","g1.G30xJ210"
"57","Abdomen Tapping","Leg Showcase + Pedipalp Showcase","g1.G30xJ210"
"58","Leg Showcase + Pedipalp Showcase","Leg Showcase","g1.G30xJ210"
"59","Leg Showcase","Freezing","g1.G30xJ210"
"60","Freezing","Leg Showcase + Pedipalp Showcase","g1.G30xJ210"
"61","Leg Showcase + Pedipalp Showcase","Leg Showcase","g1.G30xJ210"
"62","Leg Showcase","Freezing","g1.G30xJ210"
"63","Freezing","Leg Showcase + Pedipalp Showcase","g1.G30xJ210"
"64","Leg Showcase + Pedipalp Showcase","Freezing","g1.G30xJ210"
"65","Freezing","Leg Showcase + Pedipalp Showcase","g1.G30xJ210"
"66","Leg Showcase + Pedipalp Showcase","Freezing","g1.G30xJ210"
"67","Freezing","Mounting.Start","g1.G30xJ210"
"68","Mounting.Start","Leg Showcase + Mounted + Pedipalp Showcase","g1.G30xJ210"
"69","Leg Showcase + Mounted + Pedipalp Showcase","Leg Showcase + Mounted","g1.G30xJ210"
"70","Leg Showcase + Mounted","Mounted + Freezing","g1.G30xJ210"
"71","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.G30xJ210"
"72","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.G30xJ210"
"73","Mounted + Freezing","Leg Showcase + Mounted","g1.G30xJ210"
"74","Leg Showcase + Mounted","Leg Showcase + Mounted + Pedipalp Showcase","g1.G30xJ210"
"75","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.G30xJ210"
"76","Mounted + Freezing","Leg Showcase + Mounted","g1.G30xJ210"
"77","Leg Showcase + Mounted","Mounted + Freezing","g1.G30xJ210"
"78","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.G30xJ210"
"79","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.G30xJ210"
"80","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.G30xJ210"
"81","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.G30xJ210"
"82","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.G30xJ210"
"83","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.G30xJ210"
"84","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.G30xJ210"
"85","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.G30xJ210"
"86","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.G30xJ210"
"87","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.G30xJ210"
"88","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.G30xJ210"
"89","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.G30xJ210"
"90","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.G30xJ210"
"91","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.G30xJ210"
"92","Mounted + Freezing","Leg Showcase + Mounted","g1.G30xJ210"
"93","Leg Showcase + Mounted","Mounted + Freezing","g1.G30xJ210"
"94","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.G30xJ210"
"95","Leg Showcase + Mounted + Pedipalp Showcase","Leg Showcase + Mounted","g1.G30xJ210"
"96","Leg Showcase + Mounted","Mounted + Freezing","g1.G30xJ210"
"97","Mounted + Freezing","Leg Showcase + Mounted","g1.G30xJ210"
"98","Leg Showcase + Mounted","Leg Showcase + Mounted + Pedipalp Showcase","g1.G30xJ210"
"99","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.G30xJ210"
"100","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.G30xJ210"
"101","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.G30xJ210"
"102","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.G30xJ210"
"103","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.G30xJ210"
"104","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.G30xJ210"
"105","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.G30xJ210"
"106","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.G30xJ210"
"107","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.G30xJ210"
